ID	Title	Date	Language	Genre	averageRating	numVotes
21960600	Allegro	2005-09-30	"{""/m/0295r"": ""Danish Language""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/06n90"": ""Science Fiction"", ""/m/03q4nz"": ""World cinema""}"	6.6	1855
21965295	Dark Mirror	2009	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/0fdjb"": ""Supernatural"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02wtdps"": ""Crime Thriller""}"	4.7	1374
21970745	Saved by the Belles	2003	"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/0hn10"": ""LGBT""}"	4	111
21971275	Percy Jackson & the Olympians: The Lightning Thief	2010-02-10	"{""/m/02hwyss"": ""Turkish Language"", ""/m/02h40lc"": ""English Language""}"	"{""/m/03k9fj"": ""Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/060__y"": ""Film adaptation"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/02b5_l"": ""Teen"", ""/m/0hh_j8m"": ""Mythological Fantasy""}"	5.9	175004
21971893	The Divine Woman	1928-01-14	"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/06ppq"": ""Silent film""}"	6.7	339
21977717	The Cake Eaters	2007	"{""/m/02h40lc"": ""English Language""}"	"{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie""}"	6.3	6827
21978354	Conviction	2010-10-15	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0lsxr"": ""Crime Fiction"", ""/m/03bxz7"": ""Biographical film"", ""/m/07s9rl0"": ""Drama"", ""/m/05bh16v"": ""Courtroom Drama""}"	7.1	245
21980093	Stepfather III	1992-06-04	"{""/m/02h40lc"": ""English Language""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}"	4.7	1422
21983784	Miss Annie Rooney	1942-05-29	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}"	6.5	452
21984149	Death on Demand	2007	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0qdzd"": ""B-movie"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0hj3n5l"": ""Haunted House Film""}"	3.4	426
21996387	I'm Through with White Girls	2007-09-08	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02l7c8"": ""Romance Film"", ""/m/05p553"": ""Comedy film""}"	5.6	841
21997968	Red Swastik	2007-06-08	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/01chg"": ""Bollywood""}"	2.9	215
22022026	A Month by the Lake	1995-09-22	"{""/m/02h40lc"": ""English Language""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}"	6.2	2173
22022829	Heir-Conditioned	1955-11-26	"{""/m/02h40lc"": ""English Language""}"	"{""/m/02hmvc"": ""Short Film"", ""/m/0hqxf"": ""Family Film"", ""/m/0hcr"": ""Animation""}"	6.3	205
